chisq_1502,m_{\chi_1^0} (GeV),m_1 (GeV),m_2 (GeV),tan \beta,\mu (GeV),\Omega_{\chi}h^2,\sigma_{SI},\sigma_v (Km/s),A_t (GeV),m_A (Ge V),m_Q3 (GeV
39.5319567594,180.74355800000001,-184.051699482,-493.522706529,5.46028380868,269.291977227,0.16896511429655389,1.5925743723693E-46,1.2585439611942979E-026,3.51799141E+03,-4.72206194E+02,1.92790886E+03
35.5546620168,89.089417499999996,92.3685887586,103.006662622,5.7414667544,440.323829367,8.7779635237915668E-002,8.7617073285858E-46,7.5117432466810810E-027,3.24171115E+03,1.14936044E+03,1.56132389E+03
36.9501234473,178.65564800000001,-175.801623449,-368.731464693,19.3661629052,1266.86058876,0.14538444402517270,4.2168120558328E-49,1.2339075141341816E-026,2.18437877E+03,3.68389202E+03,-1.98412011E+03
39.9250948102,93.825625400000007,97.7756995553,115.622556426,9.15777704515,330.372111277,0.19631639134771192,2.7711218293777E-45,6.3898186346474260E-027,3.23266069E+03,1.04294758E+03,1.70185232E+03
36.9964843737,92.170380499999993,96.2656913145,110.945212314,10.3476554831,334.04701299,0.15374295278636194,1.5335512828622E-45,6.8355253361212253E-027,-3.80180428E+03,-2.73760373E+03,3.09398024E+03
39.817555462,96.755255099999999,101.463378746,113.986475747,10.1352568534,326.799167742,6.8827163626701535E-002,9.5761176255362E-46,1.7538301696254824E-026,-3.84855243E+03,-2.79739075E+03,3.09760396E+03
38.1228095507,94.490770800000007,99.2043817585,111.784265865,6.28213804523,379.621307454,7.8719726478023749E-002,1.087846089459E-45,1.4198227251555140E-026,-3.72020678E+03,-2.71628739E+03,3.03595509E+03
39.8353141602,181.41077899999999,180.342853197,-580.730609568,10.322562142,894.561784438,0.21547288092927874,5.7644207737386E-47,1.0343396715020162E-026,-4.10513558E+03,1.80836649E+03,2.69514867E+03
39.6480066138,186.02772100000001,185.15328127,-202.332867549,13.932846441,747.788582832,8.5275411900579690E-002,2.6155393188928E-47,2.0779672597019234E-026,3.22255797E+03,3.11402626E+03,3.21380129E+03
38.8771244623,183.92231699999999,182.844343211,-219.268380895,15.0046056664,854.765771436,0.14356304132463318,2.7097903004343E-47,1.5653580133676465E-026,3.19967485E+03,-3.78302987E+03,-3.59561287E+03
38.0808281044,181.74809600000000,180.248542948,-234.768644312,18.6898907441,1133.63269559,0.16032234295231040,8.6461841637802E-48,1.3948495032843589E-026,3.07123376E+03,-3.69104316E+03,-3.47781739E+03
39.0924809243,184.50785800000000,182.533062133,-283.924098384,28.928957193,1642.70388234,0.16953055649569992,1.1011817502884E-48,1.3192116794895447E-026,-3.41204463E+03,3.71039528E+03,-3.2760602E+03
36.7671212567,177.84644900000001,176.480868987,-599.54018584,22.4538539133,993.703188429,0.10102111304751321,6.0730542131976E-47,1.5546172706751715E-026,-3.29645561E+03,-5.98642931E+02,-3.45390107E+03
32.7832729482,86.953293299999999,108.976632015,-379.482303762,23.9448037573,-113.517505632,0.10349527889067950,7.9242223944807E-46,9.4356314901226853E-027,-1.33097604E+03,6.73038626E+02,-3.61537385E+03
34.6369774254,89.683068000000006,94.096597619,108.495052108,11.6734089744,311.79506727,0.12769898984697051,1.4988119094224E-45,7.6381257639365410E-027,-3.77246365E+03,-2.77952133E+03,3.09808055E+03
