Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
39,9.61E+01,9.61E+01,9.92E+01,1.10E+02,6.99E+00,4.21E+02,8.15E-02,7.72203E-10,1.04E-26,3.24E+03,1.09E+03,1.65E+03
37,9.25E+01,9.25E+01,9.65E+01,1.27E+02,5.24E+00,-1.56E+02,0.179064089,1.26854E-09,6.69E-27,-3.79E+03,-2.75E+03,3.07E+03
37,1.79E+02,1.79E+02,1.77E+02,-2.41E+02,1.67E+01,2.27E+03,0.170550837,4.49478E-13,1.26E-26,3.03E+03,-3.77E+03,-3.49E+03
39,1.85E+02,1.85E+02,1.83E+02,-8.55E+02,5.53E+01,1.19E+03,0.19512936,9.25638E-12,1.19E-26,3.44E+03,-2.14E+03,-3.46E+03
39,9.57E+01,9.57E+01,9.90E+01,1.10E+02,5.05E+00,4.67E+02,8.19E-02,8.62329E-10,1.09E-26,3.29E+03,1.13E+03,1.52E+03
38,1.83E+02,1.83E+02,-1.79E+02,-2.14E+02,7.36E+00,2.70E+03,0.177558467,4.25612E-12,1.24E-26,3.50E+03,3.43E+03,3.33E+03
36,8.92E+01,8.92E+01,9.26E+01,1.04E+02,6.03E+00,4.23E+02,0.113750156,1.1776E-09,6.38E-27,3.23E+03,1.06E+03,1.77E+03
40,9.51E+01,9.51E+01,9.83E+01,1.08E+02,5.68E+00,5.03E+02,9.40E-02,5.47602E-10,6.75E-27,-3.78E+03,-2.74E+03,3.13E+03
40,1.86E+02,1.86E+02,1.84E+02,-3.90E+02,1.39E+01,1.34E+03,0.136141884,4.79015E-12,1.54E-26,-3.37E+03,3.75E+03,-3.33E+03
37,1.79E+02,1.79E+02,1.77E+02,-3.53E+02,2.15E+01,8.93E+02,0.179516987,2.14916E-11,1.18E-26,-3.37E+03,3.72E+03,-3.30E+03
37,9.24E+01,9.24E+01,9.68E+01,1.08E+02,5.98E+00,4.05E+02,6.51E-02,7.92083E-10,1.40E-26,-3.74E+03,-2.84E+03,3.15E+03
36,9.16E+01,9.16E+01,9.54E+01,1.08E+02,8.88E+00,3.66E+02,0.127955856,1.10484E-09,6.91E-27,-3.80E+03,-2.89E+03,3.09E+03
37,9.33E+01,9.33E+01,9.61E+01,1.07E+02,6.18E+00,4.52E+02,0.102862379,6.89054E-10,7.17E-27,3.61E+03,3.77E+03,-3.18E+03
40,1.80E+02,1.80E+02,-1.85E+02,-4.47E+02,6.11E+00,2.57E+02,0.139138205,3.38773E-10,1.55E-26,3.50E+03,-4.87E+02,1.93E+03
