Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
30,8.65E+01,8.65E+01,-1.11E+02,4.54E+02,3.04E+01,1.11E+02,8.41E-02,2.54725E-10,1.16E-26,-1.64E+03,6.33E+02,1.77E+03
30,8.65E+01,8.65E+01,-1.09E+02,3.54E+02,2.46E+01,1.12E+02,9.11E-02,7.63925E-10,9.89E-27,-1.74E+03,6.76E+02,1.84E+03
30,8.66E+01,8.66E+01,-1.09E+02,4.09E+02,3.90E+01,1.11E+02,8.53E-02,7.98612E-10,1.13E-26,2.72E+03,1.30E+03,-8.89E+02
30,8.65E+01,8.65E+01,-1.10E+02,4.04E+02,2.52E+01,1.11E+02,8.63E-02,1.59565E-10,1.08E-26,3.61E+03,5.84E+02,-2.75E+03
30,8.65E+01,8.65E+01,-1.11E+02,4.50E+02,2.85E+01,1.11E+02,8.70E-02,4.94152E-10,1.11E-26,3.50E+03,6.98E+02,-2.63E+03
30,8.65E+01,8.65E+01,-1.10E+02,3.78E+02,2.96E+01,1.11E+02,8.71E-02,2.20228E-10,1.05E-26,3.31E+03,6.43E+02,-2.81E+03
30,8.65E+01,8.65E+01,-1.10E+02,4.20E+02,2.59E+01,1.11E+02,8.59E-02,3.51412E-10,1.10E-26,3.56E+03,6.38E+02,-2.68E+03
30,8.65E+01,8.65E+01,-1.09E+02,4.48E+02,2.38E+01,1.12E+02,0.10291949,5.93607E-10,9.30E-27,3.53E+03,6.50E+02,-2.84E+03
29,8.65E+01,8.65E+01,-1.09E+02,4.11E+02,2.03E+01,1.12E+02,9.52E-02,4.61498E-10,9.80E-27,3.50E+03,5.88E+02,-3.03E+03
29,8.65E+01,8.65E+01,-1.10E+02,4.75E+02,3.58E+01,1.11E+02,8.86E-02,1.03647E-09,1.12E-26,2.62E+03,1.12E+03,-8.88E+02
29,8.65E+01,8.65E+01,-1.09E+02,4.31E+02,2.38E+01,1.12E+02,9.59E-02,2.73413E-10,9.89E-27,3.68E+03,5.95E+02,-2.69E+03
29,8.65E+01,8.65E+01,-1.08E+02,4.41E+02,3.46E+01,1.13E+02,0.100954658,1.33405E-09,9.68E-27,2.52E+03,1.16E+03,-9.10E+02
30,8.65E+01,8.65E+01,-1.07E+02,4.70E+02,2.93E+01,1.13E+02,0.107036668,1.35699E-09,9.14E-27,2.57E+03,1.23E+03,-8.89E+02
29,8.64E+01,8.64E+01,-1.11E+02,4.45E+02,3.13E+01,1.11E+02,9.00E-02,1.84325E-10,1.07E-26,3.58E+03,6.53E+02,-2.68E+03
30,8.65E+01,8.65E+01,-1.07E+02,3.44E+02,1.68E+01,1.13E+02,9.56E-02,1.00567E-09,9.11E-27,-1.62E+03,6.11E+02,1.79E+03
30,8.65E+01,8.65E+01,-1.08E+02,3.31E+02,2.63E+01,1.12E+02,9.27E-02,3.35349E-10,9.35E-27,3.31E+03,6.38E+02,-2.80E+03
30,8.65E+01,8.65E+01,-1.09E+02,4.22E+02,3.15E+01,1.11E+02,8.57E-02,1.10922E-09,1.12E-26,2.68E+03,1.19E+03,-9.02E+02
30,8.64E+01,8.64E+01,-1.08E+02,4.06E+02,1.94E+01,1.13E+02,0.102094053,3.05988E-10,9.10E-27,-1.51E+03,5.21E+02,1.88E+03
30,8.65E+01,8.65E+01,-1.09E+02,3.81E+02,2.07E+01,1.11E+02,8.98E-02,6.41439E-10,1.01E-26,3.35E+03,6.33E+02,-2.69E+03
30,8.65E+01,8.65E+01,-1.09E+02,3.55E+02,2.72E+01,1.12E+02,9.00E-02,5.67274E-10,1.00E-26,-1.76E+03,6.69E+02,1.81E+03
29,8.65E+01,8.65E+01,-1.10E+02,3.70E+02,3.26E+01,1.12E+02,9.23E-02,5.60495E-10,9.94E-27,3.52E+03,7.62E+02,-2.65E+03
30,8.65E+01,8.65E+01,-1.10E+02,3.80E+02,3.04E+01,1.11E+02,8.63E-02,6.87858E-10,1.07E-26,-1.68E+03,7.29E+02,1.82E+03
29,8.64E+01,8.64E+01,-1.09E+02,3.92E+02,2.79E+01,1.12E+02,9.58E-02,2.44016E-10,9.70E-27,3.31E+03,6.28E+02,-2.80E+03
29,8.65E+01,8.65E+01,-1.09E+02,4.39E+02,3.49E+01,1.11E+02,8.96E-02,1.07334E-09,1.09E-26,2.49E+03,1.27E+03,-8.86E+02
30,8.65E+01,8.65E+01,-1.08E+02,4.15E+02,3.96E+01,1.13E+02,0.102571019,9.78857E-10,9.38E-27,2.58E+03,1.20E+03,-8.97E+02
29,8.65E+01,8.65E+01,-1.07E+02,3.74E+02,3.38E+01,1.13E+02,9.73E-02,3.29466E-10,9.60E-27,2.78E+03,1.23E+03,-8.73E+02
30,8.65E+01,8.65E+01,-1.09E+02,4.05E+02,2.95E+01,1.13E+02,0.101826889,6.92884E-10,9.29E-27,-1.77E+03,7.06E+02,1.82E+03
30,8.64E+01,8.64E+01,-1.09E+02,3.86E+02,2.54E+01,1.11E+02,9.05E-02,1.56621E-10,1.01E-26,3.69E+03,5.87E+02,-2.68E+03
30,8.65E+01,8.65E+01,-1.08E+02,4.13E+02,1.98E+01,1.12E+02,9.91E-02,6.03539E-10,9.39E-27,3.53E+03,6.06E+02,-2.77E+03
30,8.65E+01,8.65E+01,-1.08E+02,3.91E+02,1.84E+01,1.12E+02,9.20E-02,6.05587E-10,9.80E-27,3.35E+03,5.92E+02,-2.86E+03
30,8.64E+01,8.64E+01,-1.09E+02,3.60E+02,3.05E+01,1.12E+02,9.06E-02,1.14841E-10,9.93E-27,3.33E+03,6.23E+02,-2.80E+03
30,8.65E+01,8.65E+01,-1.09E+02,4.14E+02,3.20E+01,1.11E+02,8.44E-02,9.88223E-10,1.13E-26,2.68E+03,1.22E+03,-8.96E+02
29,8.65E+01,8.65E+01,-1.08E+02,3.83E+02,3.34E+01,1.12E+02,9.05E-02,9.61571E-10,1.04E-26,2.75E+03,1.16E+03,-8.94E+02
30,8.65E+01,8.65E+01,-1.09E+02,3.63E+02,2.14E+01,1.12E+02,9.08E-02,8.04682E-10,9.81E-27,3.37E+03,6.79E+02,-2.82E+03
30,8.65E+01,8.65E+01,-1.08E+02,3.42E+02,2.42E+01,1.12E+02,9.39E-02,9.02454E-10,9.42E-27,-1.54E+03,6.93E+02,1.92E+03
29,8.65E+01,8.65E+01,-1.07E+02,3.44E+02,3.66E+01,1.13E+02,9.47E-02,1.0921E-09,9.59E-27,2.54E+03,1.12E+03,-9.19E+02
29,8.64E+01,8.64E+01,-1.10E+02,4.06E+02,2.61E+01,1.11E+02,9.15E-02,6.80601E-11,1.02E-26,3.52E+03,5.64E+02,-2.82E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.87E+02,1.82E+01,1.12E+02,9.22E-02,3.99531E-10,9.79E-27,3.47E+03,5.51E+02,-3.00E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.32E+02,2.39E+01,1.12E+02,0.10177075,6.6093E-10,9.28E-27,3.28E+03,6.61E+02,-2.87E+03
30,8.65E+01,8.65E+01,-1.08E+02,3.46E+02,2.19E+01,1.12E+02,9.11E-02,9.45392E-10,9.67E-27,-1.75E+03,6.79E+02,1.83E+03
29,8.65E+01,8.65E+01,-1.08E+02,3.92E+02,3.48E+01,1.12E+02,9.65E-02,8.25774E-10,9.83E-27,2.66E+03,1.19E+03,-8.92E+02
30,8.65E+01,8.65E+01,-1.08E+02,3.39E+02,2.20E+01,1.13E+02,9.44E-02,1.03247E-09,9.29E-27,-1.75E+03,6.93E+02,1.81E+03
29,8.65E+01,8.65E+01,-1.09E+02,4.62E+02,3.01E+01,1.11E+02,8.91E-02,7.71651E-10,1.09E-26,2.67E+03,1.25E+03,-8.76E+02
29,8.65E+01,8.65E+01,-1.08E+02,4.16E+02,3.05E+01,1.12E+02,9.07E-02,2.7649E-10,1.05E-26,2.67E+03,1.25E+03,-8.67E+02
30,8.64E+01,8.64E+01,-1.10E+02,3.83E+02,2.77E+01,1.11E+02,8.91E-02,2.71527E-10,1.03E-26,3.35E+03,6.36E+02,-2.80E+03
30,8.65E+01,8.65E+01,-1.09E+02,3.85E+02,3.95E+01,1.12E+02,8.88E-02,9.2331E-10,1.06E-26,2.51E+03,1.27E+03,-8.98E+02
30,8.65E+01,8.65E+01,-1.07E+02,3.46E+02,2.63E+01,1.13E+02,9.81E-02,1.07447E-09,9.18E-27,2.66E+03,1.25E+03,-8.84E+02
29,8.64E+01,8.64E+01,-1.10E+02,4.56E+02,3.08E+01,1.12E+02,9.64E-02,4.29077E-10,9.96E-27,3.54E+03,7.03E+02,-2.69E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.13E+02,3.35E+01,1.12E+02,0.103729377,2.49083E-10,9.10E-27,3.49E+03,6.88E+02,-2.63E+03
30,8.64E+01,8.64E+01,-1.10E+02,5.07E+02,3.43E+01,1.12E+02,0.106427278,2.48358E-10,9.09E-27,3.49E+03,6.94E+02,-2.60E+03
30,8.64E+01,8.64E+01,-1.08E+02,4.08E+02,2.31E+01,1.12E+02,9.97E-02,1.17842E-09,9.41E-27,-1.61E+03,7.10E+02,1.79E+03
29,8.64E+01,8.64E+01,-1.09E+02,4.18E+02,2.04E+01,1.12E+02,9.75E-02,7.13E-10,9.54E-27,3.30E+03,6.31E+02,-2.81E+03
29,8.64E+01,8.64E+01,-1.10E+02,3.99E+02,3.24E+01,1.11E+02,9.24E-02,1.5067E-10,1.01E-26,3.49E+03,6.53E+02,-2.68E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.61E+02,2.61E+01,1.12E+02,9.74E-02,3.68632E-10,9.21E-27,3.46E+03,6.42E+02,-2.68E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.41E+02,2.48E+01,1.12E+02,0.10270212,6.50835E-10,9.22E-27,3.58E+03,6.75E+02,-2.69E+03
29,8.64E+01,8.64E+01,-1.08E+02,4.03E+02,1.96E+01,1.12E+02,9.44E-02,3.1386E-10,9.76E-27,-1.55E+03,5.27E+02,1.84E+03
29,8.64E+01,8.64E+01,-1.11E+02,4.59E+02,3.44E+01,1.11E+02,9.06E-02,2.82474E-10,1.06E-26,3.48E+03,7.07E+02,-2.65E+03
30,8.65E+01,8.65E+01,-1.07E+02,3.12E+02,3.40E+01,1.13E+02,9.39E-02,1.16352E-09,9.11E-27,2.64E+03,1.08E+03,-9.37E+02
29,8.65E+01,8.65E+01,-1.08E+02,4.23E+02,3.13E+01,1.13E+02,0.100092382,5.33134E-11,9.53E-27,2.63E+03,1.33E+03,-8.64E+02
30,8.64E+01,8.64E+01,-1.08E+02,3.86E+02,1.77E+01,1.11E+02,8.99E-02,9.93644E-10,9.98E-27,3.33E+03,6.65E+02,-2.88E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.41E+02,2.28E+01,1.12E+02,0.101952027,2.50479E-10,9.22E-27,3.45E+03,5.72E+02,-2.81E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.34E+02,2.32E+01,1.12E+02,9.35E-02,6.65431E-10,9.20E-27,3.44E+03,6.75E+02,-2.77E+03
29,8.64E+01,8.64E+01,-1.08E+02,4.02E+02,3.78E+01,1.12E+02,9.71E-02,1.30942E-09,9.82E-27,2.60E+03,1.21E+03,-9.24E+02
30,8.65E+01,8.65E+01,-1.09E+02,4.00E+02,3.97E+01,1.11E+02,8.71E-02,1.12411E-09,1.09E-26,2.67E+03,1.21E+03,-9.26E+02
30,8.64E+01,8.64E+01,-1.09E+02,4.38E+02,2.96E+01,1.12E+02,0.102475739,2.81206E-10,9.25E-27,3.44E+03,6.54E+02,-2.65E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.20E+02,2.59E+01,1.12E+02,9.97E-02,1.35023E-10,9.37E-27,3.30E+03,5.80E+02,-2.75E+03
30,8.64E+01,8.64E+01,-1.07E+02,4.07E+02,3.48E+01,1.13E+02,0.104287483,1.03062E-09,9.14E-27,2.55E+03,1.14E+03,-8.96E+02
30,8.64E+01,8.64E+01,-1.07E+02,3.37E+02,2.00E+01,1.13E+02,9.49E-02,9.73873E-10,9.11E-27,-1.63E+03,6.52E+02,1.87E+03
30,8.64E+01,8.64E+01,-1.07E+02,4.12E+02,2.92E+01,1.13E+02,0.105075695,7.96719E-10,9.04E-27,2.61E+03,1.33E+03,-8.72E+02
30,8.64E+01,8.64E+01,-1.08E+02,3.79E+02,3.76E+01,1.13E+02,0.101056894,1.32939E-09,9.29E-27,2.68E+03,1.30E+03,-9.04E+02
29,8.64E+01,8.64E+01,-1.08E+02,4.19E+02,2.98E+01,1.12E+02,9.14E-02,1.08331E-09,1.04E-26,2.67E+03,1.24E+03,-8.87E+02
29,8.63E+01,8.63E+01,-1.09E+02,4.06E+02,2.00E+01,1.11E+02,9.25E-02,1.04082E-10,9.87E-27,3.75E+03,5.11E+02,-2.94E+03
29,8.64E+01,8.64E+01,-1.09E+02,3.88E+02,2.54E+01,1.11E+02,9.18E-02,5.24272E-10,9.95E-27,3.38E+03,6.65E+02,-2.87E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.15E+02,3.26E+01,1.11E+02,8.78E-02,3.27251E-10,1.08E-26,2.63E+03,1.16E+03,-8.71E+02
30,8.64E+01,8.64E+01,-1.09E+02,4.10E+02,2.54E+01,1.12E+02,9.95E-02,8.98162E-10,9.41E-27,-1.75E+03,6.94E+02,1.82E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.12E+02,2.73E+01,1.11E+02,8.49E-02,8.06296E-10,1.10E-26,2.61E+03,1.33E+03,-8.76E+02
30,8.64E+01,8.64E+01,-1.10E+02,4.27E+02,2.51E+01,1.11E+02,8.75E-02,1.04178E-09,1.07E-26,3.53E+03,7.86E+02,-2.73E+03
29,8.63E+01,8.63E+01,-1.09E+02,4.22E+02,2.55E+01,1.11E+02,9.22E-02,3.17667E-10,1.02E-26,-1.60E+03,5.94E+02,1.87E+03
30,8.64E+01,8.64E+01,-1.10E+02,4.31E+02,2.27E+01,1.11E+02,8.87E-02,7.6936E-10,1.05E-26,3.49E+03,6.86E+02,-2.66E+03
29,8.64E+01,8.64E+01,-1.09E+02,4.28E+02,3.71E+01,1.11E+02,8.80E-02,8.64164E-10,1.09E-26,2.59E+03,1.21E+03,-8.81E+02
30,8.64E+01,8.64E+01,-1.08E+02,4.04E+02,2.32E+01,1.12E+02,0.100529061,5.89547E-10,9.23E-27,-1.70E+03,6.15E+02,1.86E+03
29,8.64E+01,8.64E+01,-1.08E+02,3.64E+02,3.37E+01,1.12E+02,9.13E-02,3.4044E-10,1.00E-26,2.57E+03,1.20E+03,-8.73E+02
29,8.64E+01,8.64E+01,-1.09E+02,4.12E+02,2.03E+01,1.11E+02,9.24E-02,8.34932E-10,9.96E-27,3.35E+03,6.61E+02,-2.78E+03
30,8.64E+01,8.64E+01,-1.09E+02,3.58E+02,3.00E+01,1.12E+02,9.20E-02,4.85188E-10,9.75E-27,-1.74E+03,6.82E+02,1.85E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.02E+02,3.91E+01,1.11E+02,8.53E-02,6.12425E-10,1.10E-26,2.60E+03,1.21E+03,-8.73E+02
29,8.64E+01,8.64E+01,-1.08E+02,3.63E+02,3.45E+01,1.12E+02,9.54E-02,6.57155E-10,9.61E-27,2.62E+03,1.13E+03,-8.79E+02
29,8.63E+01,8.63E+01,-1.09E+02,3.86E+02,2.52E+01,1.11E+02,9.25E-02,9.52145E-11,9.79E-27,3.30E+03,5.61E+02,-2.77E+03
30,8.64E+01,8.64E+01,-1.08E+02,3.99E+02,2.35E+01,1.12E+02,0.101657821,5.63371E-10,9.05E-27,3.30E+03,6.41E+02,-2.81E+03
29,8.64E+01,8.64E+01,-1.09E+02,3.91E+02,2.06E+01,1.11E+02,9.34E-02,7.33455E-10,9.71E-27,3.61E+03,6.51E+02,-2.81E+03
29,8.63E+01,8.63E+01,-1.09E+02,4.07E+02,2.74E+01,1.11E+02,9.44E-02,2.87284E-10,9.78E-27,3.32E+03,6.33E+02,-2.79E+03
30,8.64E+01,8.64E+01,-1.08E+02,4.12E+02,1.90E+01,1.12E+02,0.100301695,5.35082E-10,9.15E-27,4.00E+03,5.88E+02,-2.98E+03
29,8.63E+01,8.63E+01,-1.10E+02,4.46E+02,2.84E+01,1.11E+02,9.20E-02,2.21228E-10,1.03E-26,3.49E+03,6.30E+02,-2.76E+03
29,8.64E+01,8.64E+01,-1.08E+02,4.16E+02,3.14E+01,1.12E+02,9.16E-02,9.92232E-10,1.04E-26,2.63E+03,1.15E+03,-8.87E+02
30,8.63E+01,8.63E+01,-1.09E+02,4.60E+02,2.73E+01,1.12E+02,0.104479387,4.74012E-10,9.07E-27,3.54E+03,6.70E+02,-2.62E+03
30,8.63E+01,8.63E+01,-1.10E+02,4.05E+02,2.39E+01,1.11E+02,8.80E-02,1.47969E-10,1.04E-26,3.68E+03,5.68E+02,-2.61E+03
29,8.63E+01,8.63E+01,-1.09E+02,4.14E+02,2.15E+01,1.11E+02,9.26E-02,5.49464E-11,9.90E-27,3.35E+03,5.10E+02,-2.92E+03
30,8.64E+01,8.64E+01,-1.08E+02,4.03E+02,2.47E+01,1.11E+02,8.58E-02,9.99964E-10,1.08E-26,2.69E+03,1.23E+03,-8.80E+02
29,8.64E+01,8.64E+01,-1.09E+02,4.61E+02,3.31E+01,1.11E+02,8.73E-02,7.91127E-10,1.11E-26,2.60E+03,1.21E+03,-8.77E+02
30,8.64E+01,8.64E+01,-1.08E+02,3.94E+02,2.05E+01,1.12E+02,9.88E-02,9.98242E-10,9.20E-27,3.29E+03,6.89E+02,-2.89E+03
29,8.64E+01,8.64E+01,-1.08E+02,4.39E+02,3.20E+01,1.12E+02,9.82E-02,2.58662E-10,9.67E-27,2.48E+03,1.30E+03,-8.66E+02
29,8.64E+01,8.64E+01,-1.08E+02,3.76E+02,3.47E+01,1.12E+02,9.26E-02,1.0755E-09,9.96E-27,2.57E+03,1.15E+03,-9.04E+02
29,8.64E+01,8.64E+01,-1.09E+02,4.12E+02,3.90E+01,1.12E+02,9.28E-02,1.09608E-09,1.02E-26,2.54E+03,1.28E+03,-9.05E+02
30,8.63E+01,8.63E+01,-1.09E+02,3.41E+02,2.63E+01,1.12E+02,9.27E-02,2.08004E-10,9.31E-27,3.36E+03,6.08E+02,-2.75E+03
29,8.64E+01,8.64E+01,-1.08E+02,3.55E+02,3.97E+01,1.12E+02,9.23E-02,4.93877E-10,9.80E-27,2.57E+03,1.26E+03,-8.78E+02
29,8.63E+01,8.63E+01,-1.11E+02,4.76E+02,3.25E+01,1.10E+02,8.85E-02,3.12407E-10,1.08E-26,3.48E+03,6.95E+02,-2.64E+03
29,8.63E+01,8.63E+01,-1.10E+02,4.25E+02,3.18E+01,1.11E+02,9.16E-02,1.80522E-10,1.02E-26,3.44E+03,6.55E+02,-2.50E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.42E+02,2.95E+01,1.11E+02,8.34E-02,8.1578E-10,1.14E-26,2.62E+03,1.15E+03,-8.82E+02
29,8.64E+01,8.64E+01,-1.08E+02,4.01E+02,3.58E+01,1.12E+02,9.52E-02,5.61582E-10,9.87E-27,2.67E+03,1.20E+03,-8.81E+02
29,8.63E+01,8.63E+01,-1.09E+02,3.91E+02,2.58E+01,1.11E+02,9.32E-02,3.34831E-10,9.74E-27,3.30E+03,6.26E+02,-2.78E+03
29,8.63E+01,8.63E+01,-1.09E+02,4.60E+02,2.52E+01,1.12E+02,9.84E-02,6.61199E-10,9.60E-27,3.37E+03,6.79E+02,-2.86E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.75E+02,2.02E+01,1.11E+02,9.19E-02,4.34842E-10,9.62E-27,3.69E+03,5.89E+02,-2.71E+03
29,8.63E+01,8.63E+01,-1.10E+02,4.57E+02,2.56E+01,1.11E+02,9.05E-02,2.38185E-10,1.04E-26,3.34E+03,6.02E+02,-2.77E+03
30,8.63E+01,8.63E+01,-1.09E+02,3.79E+02,2.29E+01,1.11E+02,9.16E-02,8.05974E-11,9.71E-27,3.52E+03,5.35E+02,-2.70E+03
29,8.63E+01,8.63E+01,-1.10E+02,4.52E+02,2.83E+01,1.11E+02,9.14E-02,4.96294E-10,1.03E-26,3.49E+03,6.91E+02,-2.66E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.59E+02,2.82E+01,1.11E+02,8.42E-02,9.81E-10,1.14E-26,2.65E+03,1.24E+03,-8.79E+02
29,8.63E+01,8.63E+01,-1.09E+02,4.13E+02,2.86E+01,1.12E+02,9.76E-02,1.09732E-09,9.53E-27,3.47E+03,8.24E+02,-2.66E+03
30,8.64E+01,8.64E+01,-1.08E+02,5.41E+02,4.13E+01,1.13E+02,0.105998058,6.60638E-10,9.22E-27,2.44E+03,1.27E+03,-8.76E+02
29,8.64E+01,8.64E+01,-1.08E+02,4.14E+02,3.91E+01,1.12E+02,9.73E-02,9.24712E-10,9.76E-27,2.58E+03,1.14E+03,-9.03E+02
30,8.64E+01,8.64E+01,-1.08E+02,4.60E+02,3.47E+01,1.13E+02,0.102942601,1.2586E-09,9.36E-27,2.64E+03,1.36E+03,-8.89E+02
30,8.63E+01,8.63E+01,-1.09E+02,4.19E+02,2.68E+01,1.12E+02,0.100837059,6.33602E-10,9.25E-27,-1.58E+03,6.61E+02,1.93E+03
29,8.63E+01,8.63E+01,-1.10E+02,4.07E+02,3.27E+01,1.12E+02,9.44E-02,6.90768E-10,9.88E-27,-1.79E+03,7.46E+02,1.85E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.18E+02,2.69E+01,1.12E+02,0.101308637,5.02162E-10,9.20E-27,-1.76E+03,6.42E+02,1.83E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.13E+02,3.84E+01,1.11E+02,8.45E-02,9.43731E-10,1.11E-26,2.67E+03,1.28E+03,-8.92E+02
30,8.63E+01,8.63E+01,-1.09E+02,3.66E+02,2.68E+01,1.11E+02,8.96E-02,2.3583E-10,9.86E-27,3.40E+03,6.19E+02,-2.79E+03
29,8.62E+01,8.62E+01,-1.09E+02,4.22E+02,2.21E+01,1.12E+02,9.67E-02,1.45327E-10,9.55E-27,-1.55E+03,5.23E+02,1.83E+03
30,8.63E+01,8.63E+01,-1.08E+02,3.75E+02,1.89E+01,1.12E+02,9.34E-02,8.94593E-10,9.44E-27,3.31E+03,6.56E+02,-2.76E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.33E+02,2.81E+01,1.12E+02,9.93E-02,3.40535E-10,9.41E-27,3.50E+03,6.53E+02,-2.68E+03
29,8.63E+01,8.63E+01,-1.10E+02,4.70E+02,2.75E+01,1.11E+02,9.77E-02,3.08387E-10,9.68E-27,3.38E+03,6.37E+02,-2.73E+03
29,8.62E+01,8.62E+01,-1.09E+02,4.09E+02,2.69E+01,1.11E+02,9.04E-02,2.02161E-10,1.02E-26,-1.57E+03,5.86E+02,1.80E+03
30,8.64E+01,8.64E+01,-1.09E+02,4.08E+02,3.66E+01,1.11E+02,8.78E-02,6.25337E-10,1.07E-26,2.47E+03,1.27E+03,-8.71E+02
30,8.63E+01,8.63E+01,-1.09E+02,4.47E+02,2.85E+01,1.11E+02,8.37E-02,1.11923E-09,1.13E-26,2.66E+03,1.20E+03,-8.91E+02
30,8.63E+01,8.63E+01,-1.08E+02,4.73E+02,3.44E+01,1.13E+02,0.105329947,5.05398E-10,9.13E-27,2.55E+03,1.29E+03,-8.71E+02
30,8.63E+01,8.63E+01,-1.09E+02,4.71E+02,2.77E+01,1.12E+02,0.103636943,3.43771E-10,9.10E-27,3.50E+03,6.47E+02,-2.72E+03
30,8.63E+01,8.63E+01,-1.09E+02,3.99E+02,2.54E+01,1.12E+02,9.69E-02,5.0893E-10,9.42E-27,3.63E+03,6.62E+02,-2.70E+03
30,8.63E+01,8.63E+01,-1.09E+02,4.41E+02,3.31E+01,1.11E+02,8.56E-02,2.38394E-10,1.11E-26,2.57E+03,1.24E+03,-8.70E+02
29,8.63E+01,8.63E+01,-1.09E+02,4.39E+02,2.41E+01,1.11E+02,9.55E-02,8.78998E-10,9.77E-27,3.61E+03,7.21E+02,-2.59E+03
29,8.63E+01,8.63E+01,-1.08E+02,3.58E+02,3.36E+01,1.12E+02,9.23E-02,8.48872E-10,9.75E-27,2.62E+03,1.16E+03,-8.86E+02
30,8.63E+01,8.63E+01,-1.08E+02,3.80E+02,2.10E+01,1.12E+02,9.56E-02,2.88985E-10,9.29E-27,3.56E+03,5.66E+02,-2.86E+03
29,8.63E+01,8.63E+01,-1.07E+02,3.59E+02,3.46E+01,1.12E+02,9.45E-02,5.46697E-10,9.55E-27,2.67E+03,1.19E+03,-8.79E+02
30,8.62E+01,8.62E+01,-1.09E+02,3.91E+02,3.49E+01,1.12E+02,9.82E-02,2.01703E-10,9.33E-27,3.47E+03,6.91E+02,-2.65E+03
29,8.63E+01,8.63E+01,-1.09E+02,4.45E+02,3.64E+01,1.11E+02,8.72E-02,1.02323E-09,1.10E-26,2.59E+03,1.22E+03,-8.89E+02
29,8.63E+01,8.63E+01,-1.07E+02,3.82E+02,2.75E+01,1.12E+02,9.60E-02,7.98191E-10,9.54E-27,2.67E+03,1.23E+03,-8.73E+02
30,8.63E+01,8.63E+01,-1.08E+02,3.46E+02,2.87E+01,1.13E+02,9.81E-02,7.84519E-10,8.96E-27,-1.78E+03,7.23E+02,1.86E+03
30,8.63E+01,8.63E+01,-1.07E+02,4.37E+02,3.01E+01,1.13E+02,0.1046851,1.41182E-09,9.06E-27,2.64E+03,1.25E+03,-9.00E+02
30,8.62E+01,8.62E+01,-1.08E+02,3.82E+02,1.98E+01,1.12E+02,9.82E-02,2.67542E-10,9.03E-27,3.40E+03,5.43E+02,-2.94E+03
30,8.63E+01,8.63E+01,-1.11E+02,4.77E+02,3.43E+01,1.10E+02,8.61E-02,3.88138E-10,1.11E-26,3.53E+03,7.36E+02,-2.72E+03
29,8.63E+01,8.63E+01,-1.08E+02,4.73E+02,3.56E+01,1.12E+02,9.97E-02,8.55442E-10,9.67E-27,2.46E+03,1.26E+03,-8.75E+02
29,8.63E+01,8.63E+01,-1.08E+02,4.00E+02,3.18E+01,1.12E+02,9.26E-02,9.76084E-10,1.00E-26,2.67E+03,1.19E+03,-8.92E+02
30,8.63E+01,8.63E+01,-1.07E+02,4.59E+02,2.53E+01,1.12E+02,0.101937465,1.31599E-09,9.33E-27,2.58E+03,1.21E+03,-8.77E+02
30,8.63E+01,8.63E+01,-1.10E+02,4.62E+02,3.79E+01,1.10E+02,8.46E-02,9.10223E-10,1.13E-26,2.57E+03,1.20E+03,-8.94E+02
30,8.63E+01,8.63E+01,-1.08E+02,3.57E+02,3.34E+01,1.12E+02,8.85E-02,1.04369E-09,1.01E-26,2.61E+03,1.24E+03,-8.93E+02
29,8.62E+01,8.62E+01,-1.10E+02,4.35E+02,3.07E+01,1.12E+02,9.86E-02,3.61618E-10,9.46E-27,3.30E+03,6.81E+02,-2.86E+03
30,8.63E+01,8.63E+01,-1.07E+02,4.04E+02,3.38E+01,1.13E+02,0.102819724,1.33087E-09,9.12E-27,2.58E+03,1.20E+03,-9.07E+02
